from to fromMaxBalance fromExchangeRate toMaxBalance toExchangeRate
3 8 777 5.648603108085282 963 3.3398491350350756
5 10 28 5.3798843420499844 784 2.5369024269383336
7 12 774 3.5433117404223573 806 3.3401404815283433
8 13 368 4.3163782957707735 373 1.2696365019068925
9 14 559 1.4700408013687307 87 5.965999089457859
10 15 788 2.2855085507937734 639 3.755162379136543
11 16 555 3.4919560471767266 605 4.430462057850865
12 17 243 3.4202936378762177 731 3.704152639078954
16 21 910 1.4886343944372962 248 4.326185077466562
18 23 64 4.334414400932575 266 4.333081165699667
19 24 5 5.236396819011228 378 2.0655621032981544
26 31 567 5.88143585230609 384 3.8271603850656915
27 32 739 1.4839922025004129 718 2.2304041493584728
28 33 718 3.9622877358675392 506 5.440898870636177
31 36 489 4.089793324875982 241 2.571123571371291
33 38 346 5.105616124705465 225 5.962396075716499
34 39 8 4.952027685941381 954 5.240235628548453
36 41 259 5.561646252344799 228 1.0558250066999433
37 42 604 3.487413825402356 207 5.398628872412903
38 43 585 1.7877286446915555 764 2.094610587669184
40 45 267 3.0238412077342636 69 5.148787041710599
41 46 168 1.6277167038605047 95 3.930405546722973
42 47 993 4.40142176975384 511 5.018323946412027
43 48 136 1.7732819235651722 1 1.3088946086109778
46 51 531 4.501584056345272 650 5.751976073148125
49 54 965 5.534950806564217 749 2.272085958256617
50 55 302 1.6132013051998564 719 4.137083071691097
53 58 439 4.986927933963732 274 1.4253480577631974
54 59 281 3.612247081274951 713 3.6962737577012987
55 60 248 3.2396277059915883 395 3.6680514947846845
56 61 465 5.383583739394933 346 3.3851148846044765
59 64 927 2.9786870159195216 206 2.10058213071584
60 65 281 1.272460276531581 245 1.2077509311561654
63 68 898 1.8135937270980587 834 2.556100667732667
64 69 193 4.593470328190901 970 4.114178667171899
67 72 26 1.7894508214167495 238 3.5746468236649935
68 73 848 3.801719210012309 173 3.0529906690016486
71 76 721 1.6995355759160748 418 4.985085200975554
74 79 826 3.963442523453531 935 1.0773021482705827
75 80 87 5.940977043904699 767 5.384436516440441
84 89 519 4.306183694490626 408 4.058853367544328
87 92 385 3.7008250087174615 799 2.161631042238831
88 93 957 3.129242202524191 21 4.854440257723194
89 94 504 4.04440729214663 217 3.6921940730036074
90 95 968 3.0792627296992796 925 3.4038046542739835
91 96 904 1.239411929660146 962 5.9301582724093205
92 97 75 5.685665371064034 989 2.245708571349098
97 2 501 3.098125119147788 370 2.8800439450364568
98 3 596 1.5880957257287789 503 2.066940822035506
2 8 116 5.359723302700554 187 2.747426219020587
5 11 829 1.9581176847310424 11 5.555737886770643
7 13 970 3.901189638273257 843 4.429735854269475
9 15 392 5.01210607600463 348 1.662616914490588
10 16 933 3.942471116842685 606 3.460540197977581
12 18 910 1.9444848558252505 394 3.9498486305901386
19 25 191 5.028731234466219 418 5.25573020411618
21 27 596 3.080943686094666 352 5.133479528775038
24 30 894 2.6114684292148485 621 4.027676545450674
27 33 684 3.7565894860531417 926 1.013509617505677
32 38 47 4.374479786184494 109 3.9672253896203635
33 39 310 5.7630433503561145 977 5.703471049017725
35 41 672 1.6539449043199863 697 1.078575964886286
36 42 129 2.1057991480812968 914 5.49117375370821
37 43 481 2.981433023952591 272 4.926569171806836
38 44 576 1.3038915013432708 36 3.5508424743322413
41 47 713 5.4292198655743285 966 2.059069716591392
45 51 619 1.924467164798114 79 3.931637570738863
46 52 422 5.570154593842789 862 5.653338107839236
48 54 167 1.610943352635559 322 4.603439306834575
50 56 251 1.579236683741765 478 1.9781857342403144
51 57 456 4.383169723221129 98 4.611879378440802
52 58 892 4.6554085642828635 97 4.317409777460393
53 59 653 1.8406127382391004 680 3.4886536462804343
64 70 180 3.9883466855310994 229 1.2665839672290815
66 72 917 5.922792975000237 410 3.487936565836205
67 73 134 5.614322002379735 890 2.9527449744378345
68 74 655 1.6663385416834833 451 2.456005040198609
69 75 881 5.484101717084838 411 2.104653301030587
70 76 875 2.090472301860631 243 2.6510089417290343
78 84 312 5.049527523679225 332 3.2350108068883
79 85 390 4.836860558939682 914 4.846493313655158
81 87 429 3.2652511923267724 234 5.328575474862191
83 89 638 1.5337347958162397 818 2.474271718582054
84 90 215 5.756874180806371 526 3.76093123493506
86 92 594 1.7279575997304055 689 4.941067075441965
88 94 797 2.3460935675835217 885 2.63246986873491
90 96 276 2.811298303359836 46 1.8137616491330801
92 98 898 1.4343151171136417 996 1.4430168859162686
94 0 579 1.0796404639718873 967 3.3333653922053523
95 1 628 2.2097882718266604 538 4.567779070940701
98 4 298 3.006700403210454 201 3.825931174597404
99 5 62 5.3762502058052455 648 1.1822390020327358
3 10 620 5.700997750763691 857 5.80228893024147
4 11 412 4.692548352506765 931 1.2473386373353403
6 13 867 5.098083378116554 33 1.8033710356290147
7 14 150 1.0459140863252872 495 1.4863556567945448
11 18 1 5.426872716784435 680 3.4598075102484995
12 19 883 2.357710273532089 106 2.65125968461182
13 20 216 3.2197926469454368 959 2.5583573555554473
14 21 499 1.7867414324392352 231 2.137644744443066
15 22 576 5.8388346241400315 748 5.5267824453110865
17 24 142 3.787631333376158 700 2.8244358163856123
19 26 179 5.441902386006267 149 3.605775148607953
20 27 658 4.101024448951617 853 3.6308570869285264
21 28 384 4.48184903761688 887 2.2065264133911513
22 29 182 1.0310296259830045 960 5.502355500548905
23 30 711 2.306934995613145 293 2.056327372307985
26 33 131 2.065970736471915 783 1.426446152600981
27 34 287 2.5672754577095205 541 2.7241892287637697
28 35 200 1.1475312855551003 7 5.582163646969955
29 36 181 3.0795963299359754 192 2.4343530365837864
31 38 405 5.605573278444513 495 4.689692713969728
32 39 595 4.81268376414572 877 5.63688779301211
34 41 941 1.222175174854965 67 4.305702627227146
35 42 157 4.671254056444604 621 4.6210379693276815
38 45 979 1.6635930442361238 330 3.5529473829122864
39 46 108 5.295801675211673 840 4.302606134197593
43 50 899 5.076294079171873 777 4.913860246160557
44 51 937 2.2622096556839066 986 5.527715060681974
46 53 785 5.427734493226289 555 4.871570031092725
47 54 391 5.0976169420448 585 3.107090465665735
48 55 80 5.636783344063141 642 5.145849713753337
51 58 198 5.075548774999284 250 5.559320495034724
52 59 496 5.842679131803063 79 1.4997920856006688
55 62 36 2.9964367045909315 230 1.6975081550864737
57 64 29 5.159167373559328 24 1.6882869870193808
59 66 842 4.813912402249433 397 1.003319174842551
60 67 422 3.437002101854069 192 2.8323618553215404
61 68 194 3.2965932487260208 807 1.8476111673100795
62 69 521 5.231564082789992 10 3.9246886443938527
64 71 2 4.510369748461935 545 1.3812552513663636
66 73 700 4.6934489704654 895 4.765060660890952
69 76 745 1.450799113615259 251 3.154138817059872
72 79 279 1.0722451004421054 472 4.552424792978712
76 83 764 3.8623020014236777 131 2.5170538390866026
77 84 660 5.0975381185232775 564 3.510820480977385
78 85 733 5.154511652871822 575 1.0877602483084206
81 88 93 5.9187683508077935 510 2.7468435319266664
85 92 447 2.017228439406521 821 3.7441462378948565
86 93 968 5.713799082789301 226 5.900804279223484
88 95 975 1.9776167199187469 688 3.431893942078652
92 99 19 3.991424727658283 55 5.826410637455238
94 1 798 1.5774069734835574 443 5.097702349481567
95 2 492 2.8054955910656223 101 5.476048730536415
97 4 877 4.340457488445124 171 3.740828424570764
0 8 673 5.067584239998888 771 2.4578326782481987
3 11 186 1.889828970035107 114 2.983019907942504
4 12 427 1.7481188658882143 909 1.4545824827822964
5 13 914 5.132501592348606 630 5.8574659468493
6 14 135 3.6519336501011406 866 4.296726315224156
8 16 631 3.1903607092536292 980 5.048158089585581
9 17 710 5.01557249765338 78 4.302787208508333
12 20 820 4.383581540668112 22 4.793944368952743
13 21 167 2.8026493222925675 739 2.837301103999959
14 22 228 2.908013834303296 58 1.2253755295942683
16 24 209 2.0026693653001817 107 3.893535932533001
17 25 561 5.67245036351285 649 1.2438087879885953
18 26 560 3.5789785548912434 978 1.2874722722471301
19 27 859 1.7767247905265195 794 4.642009102641214
20 28 456 3.1596465267660605 113 5.7817781738573295
22 30 395 4.924424855570275 684 4.919403960488667
25 33 885 1.0441570027074512 822 3.6373579164667706
26 34 441 5.468929811368762 92 3.5717606783305857
28 36 111 5.140135824757073 633 1.9760160750211422
30 38 142 1.9620804437225083 151 4.254548127988766
31 39 966 2.53819925859748 789 2.965195463069922
33 41 269 3.5871459490367767 880 1.2810474754688774
34 42 906 4.75701257540149 650 1.7500489070528893
35 43 796 2.9657001113034034 752 5.25788253174656
36 44 475 5.1358187423940205 61 3.5106873291491327
39 47 693 1.7071561113436886 699 2.208231847260227
42 50 275 1.1636376678409435 746 3.4136124852469374
43 51 902 2.7907124583344105 751 1.9744683890777672
45 53 731 5.419360405258614 519 1.5275425230319575
47 55 999 4.17024128202444 861 1.0658366026333168
50 58 511 5.798530014329726 887 2.550427288687999
51 59 353 5.392763350788881 780 2.05395381050068
54 62 357 3.1283721984090787 538 2.6427991940192985
55 63 576 5.892263556819514 393 5.789350879390425
56 64 793 2.4991536433669825 484 5.41501547872808
61 69 21 4.744835464213082 323 5.5490944518321115
62 70 307 2.9937907165291104 649 3.67818110369781
63 71 14 1.7714037177851485 593 5.4161810665570655
64 72 836 1.6981784654842438 276 3.0031976783285135
65 73 634 5.957410827704482 392 2.9976508617215396
67 75 931 1.6892446693922716 143 5.5598262144028725
68 76 948 3.8891393738299085 568 3.63362975026563
70 78 439 5.543960166428986 181 3.631076724415945
71 79 107 2.3777654716780265 991 3.3081277615829054
72 80 758 1.819062958415132 883 5.41767285110347
76 84 325 2.938533080114906 336 2.367752224459026
81 89 567 4.7329360284669555 644 2.724392928954704
84 92 842 3.052368462536581 463 5.701245984013493
86 94 829 5.185429184443265 393 2.112724268309907
88 96 767 1.7727389670836238 547 5.582486304668341
89 97 435 4.786905568482216 900 5.8607163869974865
91 99 44 2.5672055718417632 861 3.3738264783511855
93 1 184 1.8005067664934062 221 3.018500248045012
95 3 510 1.8280192680116027 218 4.77954534301245
98 6 755 4.957432383339498 491 1.72133635090736
99 7 459 3.56790925334323 369 5.994694074731081
0 9 44 2.3903639931075453 317 5.93590647977504
2 11 291 1.204866370769864 72 3.948356005458618
3 12 961 2.0818209305844917 480 2.3639921144791267
5 14 468 3.5684181021834607 907 1.1391520653508183
8 17 312 5.874290045009836 867 4.8430046368551105
11 20 311 4.083647542102273 828 4.13337618841669
12 21 230 4.616982185341949 990 2.118008786910216
17 26 78 2.6537198273164657 664 2.8786928768237274
21 30 399 1.709277471286398 860 5.367477390032768
25 34 309 3.520727556415946 217 5.199290502822361
27 36 693 4.538228170134397 260 1.868758474854705
29 38 407 1.3586860524826496 60 4.730508466576465
30 39 590 3.9821191371682065 242 4.665139742864142
31 40 344 4.403780641820219 574 5.406583823208243
33 42 309 2.319131211387703 87 5.420639107879167
37 46 445 2.5096294067232883 31 5.582516364313709
38 47 34 1.6655226657174818 349 3.5796878327286965
39 48 284 5.912860522392206 868 4.459527243033424
41 50 395 4.701319940736237 645 4.628487366841821
42 51 170 4.001076407310518 501 3.706228241562304
43 52 909 5.669041962431807 942 4.363917289333589
44 53 833 1.3085556407894785 257 2.736102157434906
47 56 880 1.6624278996773958 646 5.917928277660518
48 57 419 2.2119774117178217 872 5.075034973119951
49 58 462 2.9898174776435127 61 2.6444851414024986
50 59 671 4.161822776596102 438 4.671245822818827
51 60 881 4.980793695841766 514 3.67727956499456
53 62 806 2.933260647308106 437 4.344866469560795
55 64 395 3.985136115155588 787 2.4704025402475365
57 66 303 2.958338252264519 974 1.8510146819227993
58 67 832 3.2603610463562873 785 5.982411427536921
60 69 76 5.952968994710597 635 2.512376708708315
61 70 950 2.814238956940911 36 1.6368300066785337
62 71 572 4.4268630240063285 249 5.79001664948181
65 74 221 1.262934418438705 43 3.2513934717241613
67 76 745 2.5252975012015826 110 2.0712000097399663
68 77 632 1.591928682531182 89 1.978443758855948
71 80 579 2.4984917150718413 25 4.631091684168868
72 81 180 5.260455551165437 939 5.675990803797151
73 82 467 5.335275453561978 124 3.79050546887932
75 84 144 3.023142455776946 460 1.8579535633565394
76 85 969 4.212219159368105 308 1.6732420833545993
78 87 776 3.276174165999396 836 5.8811467628646525
79 88 742 4.439675550691975 499 1.572761787783067
83 92 439 4.210458628244998 795 4.784596729600595
85 94 85 4.4605272979850685 532 5.763066644668031
86 95 431 5.56873145985652 668 1.8882215236784385
89 98 681 3.24796708677789 447 5.226762561723505
92 1 777 3.3118093070861354 467 5.613881068845217
94 3 193 3.9150809556683575 725 4.396539393358884
95 4 369 1.6896053628225296 146 1.0786328380248047
99 8 916 1.629025588585217 391 1.999093333160489
2 12 368 1.7076592959193828 134 5.009610889341846
3 13 157 3.2839346945413896 765 1.7693508650783265
6 16 559 3.602850899795741 395 5.933170147256495
7 17 73 5.584262978686553 155 1.3582286069904483
9 19 83 4.0819032222615785 449 1.60376640419599
11 21 634 3.1756564544960257 240 3.478765948085575
14 24 499 3.465574441277394 78 5.321079084597013
16 26 962 5.242224065248388 802 4.706354893689131
17 27 637 3.634685393940419 73 1.7710443141648726
20 30 928 2.224583360580609 84 2.467896924228395
23 33 993 3.758772504295288 596 5.216685747824257
25 35 333 2.472114198484371 822 2.7225126965850035
27 37 385 5.787846691291854 924 4.026662178540907
29 39 615 4.293331077101072 736 5.642503842126895
30 40 673 3.365478409774675 554 2.886560077617796
34 44 309 2.082381835500652 553 4.651532531550513
35 45 623 5.309015855863771 599 4.517546025096488
36 46 247 2.290072075613079 347 1.6837291831585968
37 47 439 2.094610941551415 437 2.4308166534209024
39 49 143 2.9419247250438634 917 4.995484870923289
40 50 380 5.823426816676327 569 4.342640876047392
41 51 172 2.25769959628079 179 4.803232123655835
43 53 212 1.3541212691226736 710 5.30305688564487
44 54 68 5.6850771508529 912 2.9060983689509103
48 58 27 5.7247657703722465 748 3.105900732630237
52 62 754 3.977924464692281 671 5.344696360518572
54 64 55 5.693301990763646 963 3.3285117417326218
57 67 263 1.238793027663432 60 1.7202208962494805
59 69 140 4.360235497552376 897 1.562889774109292
60 70 886 1.3279566366163922 457 4.479432966449335
66 76 733 5.570926957735269 27 1.5410128629631195
67 77 216 1.2853206167195743 258 4.127196386080743
69 79 493 4.331555400282623 102 1.2645717495991673
74 84 566 4.036838192420749 502 3.2715481737277123
76 86 318 5.141155448338854 809 4.099034740514521
77 87 990 2.5472168759240534 492 4.1183044206709845
80 90 955 5.679811309351996 555 3.6636301956162733
84 94 802 3.798110717627842 342 5.331997049228629
86 96 325 4.344443528106163 498 3.7321054769931297
87 97 591 1.3471190046825967 360 5.539003758500051
88 98 729 2.792709848488202 964 1.6720301866258716
89 99 222 4.621558328202078 721 1.8504034073872768
92 2 364 5.77211088541515 304 5.058785714353693
96 6 890 3.349133091969998 605 1.8465592751157203
98 8 576 4.478298808899593 820 5.387833185635984
0 18 890 2.717462137573462 516 4.762240455092437
4 75 700 3.329207669997193 841 1.5240838092718658
5 0 456 4.087313703093315 58 2.6814468966050455
6 89 885 2.5057128523681254 850 3.227396906180087
8 23 964 2.6652451865703632 493 4.601897701351739
9 49 316 1.9912895279826683 847 2.2118052415732548
10 7 395 3.3957306935612377 330 1.3300090110641096
11 52 643 2.6084253184473054 972 4.748576093122238
14 82 872 4.685454642770155 561 1.4918480900707167
15 37 388 1.8962281590070498 219 3.4493207982861653
17 81 444 1.8714819704406085 346 3.691860194115411
18 61 230 4.533195271670211 664 2.4046885656048733
19 50 453 3.4746831070388344 40 4.817968199926423
22 45 688 1.4209502941064935 195 4.760448040398144
23 39 129 4.051645452104178 782 3.16020001695328
25 63 345 5.5791452298568665 908 3.1646770370186807
32 1 429 2.10707534580012 984 5.910726696009928
36 14 152 3.3366538672539736 408 4.5590414169438125
38 9 848 5.569764695103807 33 3.315164562237734
40 51 140 3.3624683413477685 669 2.8599328694125203
41 82 837 1.9488282955923433 211 3.9933599378201103
42 53 148 1.6071243445765195 849 2.185648429112706
45 63 458 2.493660224686627 58 5.372518428828515
46 5 334 4.086500811546003 166 1.1581893785567978
49 43 138 1.6290239362639038 903 4.3139547304252845
50 84 127 1.9116468754043372 546 4.709458169891167
52 80 758 4.195533669543368 444 2.4891091689376754
53 87 559 1.570551674483769 345 4.481547215852081
54 34 625 5.653683295760924 321 2.0746303458318627
57 52 520 5.216686127778967 466 4.649563254834083
59 6 767 3.1647859001905587 399 3.7902522830440866
60 39 250 2.6770879067657782 553 4.168747709912654
63 30 46 2.0801009056110686 976 5.219092779509735
66 85 924 4.466559363954675 237 1.1612374324064125
72 89 208 1.1739297160736974 625 3.794483397122547
74 87 618 5.570115787555277 834 4.825838564741889
75 69 132 1.5906897694609148 929 5.9165505368406865
77 0 417 1.4230174538218034 337 4.332225627922206
79 91 517 1.1157368251443924 708 1.9612485806954152
82 35 202 3.592211678217998 855 4.203946937961026
83 18 903 1.232299139861707 556 5.691476499058288
84 36 867 3.787819885284656 611 2.5220161526812346
85 39 397 3.258960221790339 528 5.591328576092763
87 44 786 5.88203576706389 81 5.14972378238364
92 86 941 5.285637135671556 936 4.709132394828288
94 14 341 3.186962677134161 146 1.8504261865406015
96 91 677 2.2593679281252124 604 4.0816508994989045
4 42 247 4.805831895101528 734 2.763244952463171
7 5 645 4.262948003696446 596 3.030818071946241
8 90 479 4.431941091288039 5 5.360114005393615
9 26 719 1.7124378184795932 453 2.7430228210736676
10 44 614 2.475963927678822 70 1.9538134435742573
11 3 442 5.858738615558444 73 5.1314954914711075
12 5 666 3.697339027972132 787 1.2504070460300534
14 43 777 1.7152479483078056 143 1.9757007327598233
15 79 433 3.7725749162162696 127 5.818194126499272
16 39 623 3.803370297710377 139 5.936747738445715
18 88 598 5.523368781586966 306 3.764123166668208
19 82 296 3.433063227059229 606 2.649611414566099
21 57 283 4.257708984369466 811 4.108787513660133
22 91 437 3.9183479531474585 480 1.8539067344891083
26 93 659 5.437667355696573 845 2.6611799187919987
27 98 885 3.0895480302395097 324 1.4918748904098413
31 24 559 1.2992913714938727 896 3.9724958213871924
33 98 144 5.207343113413308 899 5.34851106182235
36 10 61 2.8867967695418164 883 4.001726332763153
37 67 846 2.95998965542325 565 1.5217122613823488
